Rougned Odor | TEX | 12282
Giovanny Urshela | CLE | 10681
Tim Adleman | CIN | 10968
Kyle Higashioka | NYY | 5517
Kevan Smith | CHW | 12284
Chase Anderson | MIL | 6895
Dominic Smith | NYM | 15653
Jabari Blash | SD | 11247
Brandon Finnegan | CIN | 16208
Craig Gentry | BAL | 9571
Matt Joyce | OAK | 3353
Tony Watson | PIT | 3132
Michael Morse | SF | 3035
J.T. Realmuto | MIA | 11739
Rafael Montero | NYM | 12760
Emilio Pagan | SEA | 14771
Cody Bellinger | LAD | 15998
Michael Wacha | STL | 14078
Jae-Gyun Hwang | SF | 19369
Christian Vazquez | BOS | 9774
Zack Greinke | ARZ | 1943
Tucker Barnhart | CIN | 10200
Josh Ravin | LAD | 2951
Dustin McGowan | MIA | 8600
Carlos Moncrief | SF | 7511
Garrett Cooper | NYY | 15279
Lance Lynn | STL | 2520
Ian Krol | ATL | 10066
Joe Blanton | WSH | 4849
Drew Pomeranz | BOS | 11426
Jeff Hoffman | COL | 17432
Albert Pujols | LAA | 1177
Jordan Luplow | PIT | 16424
Paul Sewald | NYM | 13892
Robbie Grossman | MIN | 5254
Cesar Puello | LAA | 7216
Kirk Nieuwenhuis | MIL | 6400
Jason Castro | MIN | 8722
Ryan LaMarre | OAK | 10700
Sean Rodriguez | ATL | 6589
Jack Flaherty | STL | 17479
Dan Straily | MIA | 9460
Aaron Blair | ATL | 14934
Nick Ahmed | ARZ | 12147
Elvis Andrus | TEX | 8709
Aaron Wilkerson | MIL | 16904
Jhan Marinez | MIL | 5830
Bruce Maxwell | OAK | 13866
Ubaldo Jimenez | BAL | 3374
Matt Olson | OAK | 14344
Jared Hoying | TEX | 10882
Josh Reddick | HOU | 3892
Sam Freeman | ATL | 6832
Matt Chapman | OAK | 16505
Brian Anderson | MIA | 18289
Teoscar Hernandez | TOR | 13066
Luke Maile | TOR | 13355
Phillip Evans | NYM | 12950
Dylan Covey | CHW | 14825
Adam Eaton | WSH | 11205
Junior Guerra | MIL | 5702
Dustin Garneau | OAK | 9433
Nick Williams | PHI | 14330
Eugenio Suarez | CIN | 12552
Jeff Samardzija | SF | 3254
Mike Trout | LAA | 10155
Miguel Montero | CHC | 3364
Amir Garrett | CIN | 14375
Randall Delgado | ARZ | 5985
Jacob Turner | WSH | 10185
Jacob Hannemann | SEA | 15644
David Freitas | ATL | 10619
Mikie Mahtook | DET | 13130
Tyler Austin | NYY | 11850
Jimmy Nelson | MIL | 10547
Tim Beckham | BAL | 7949
Craig Stammen | SD | 7274
Lane Adams | ATL | 10767
Derek Holland | CHW | 4141
Peter Bourjos | TB | 2578
Henderson Alvarez | PHI | 5669
Melky Cabrera | CHW | 4022
Robert Gsellman | NYM | 13696
Justin Nicolino | MIA | 11754
Tyler Skaggs | LAA | 10190
Brandon Drury | ARZ | 11615
James McCann | DET | 12859
Joey Rickard | BAL | 13277
Felix Pena | CHC | 13403
Lisalverto Bonilla | CIN | 11266
Jerad Eickhoff | PHI | 12664
Jurickson Profar | TEX | 10815
Paulo Orlando | KC | 8628
Michael Lorenzen | CIN | 14843
Chad Wallach | CIN | 17161
Breyvic Valera | STL | 12758
Miguel Cabrera | DET | 1744
Rob Zastryzny | CHC | 15094
A.J. Cole | WSH | 11467
Antonio Bastardo | PIT | 8844
Nik Turley | MIN | 5530
John Hicks | DET | 12547
Logan Forsythe | LAD | 7185
Rajai Davis | OAK | 3708
Jorge Alfaro | PHI | 12180
Ryan Tepera | TOR | 10291
Edwin Encarnacion | CLE | 2151
Joey Votto | CIN | 4314
Mason Williams | NYY | 11859
Andrew Stevenson | WSH | 17932
Ian Desmond | COL | 6885
Chase d'Arnaud | SD | 6652
Josh Smoker | NYM | 10285
Scott Feldman | CIN | 6283
J.T. Riddle | MIA | 17642
Michael Taylor | WSH | 11489
J.D. Davis | HOU | 16219
Julio Urias | LAD | 14765
Matt Shoemaker | LAA | 4776
Delino DeShields | TEX | 11379
Matt Garza | MIL | 3340
Kenley Jansen | LAD | 3096
Stephen Cardullo | COL | 11204
Christian Walker | ARZ | 13419
Luis Perdomo | SD | 14682
Gregory Polanco | PIT | 12907
Abraham Almonte | CLE | 5486
Danny Santana | ATL | 10322
Anthony Recker | ATL | 4063
Michael Saunders | TOR | 9981
Austin Hays | BAL | 19363
Javy Guerra | MIA | 7407
Gregor Blanco | ARZ | 3123
Aaron Altherr | PHI | 11270
Brad Peacock | HOU | 5401
Avisail Garcia | CHW | 5760
Carlos Carrasco | CLE | 6632
Trevor Williams | PIT | 16977
Hyun-Jin Ryu | LAD | 14444
Brandon McCarthy | LAD | 4662
Tyler Smith | SEA | 12490
Adam Jones | BAL | 6368
Luis Valbuena | LAA | 4969
Steven Okert | SF | 13580
Albert Almora Jr. | CHC | 14109
Kelby Tomlinson | SF | 13005
Jim Adduci | DET | 6448
Zack Cozart | CIN | 2616
Will Middlebrooks | TEX | 7002
Alex Meyer | LAA | 12833
Mike Zunino | SEA | 13265
Freddie Freeman | ATL | 5361
Jeremy Jeffress | MIL | 9490
C.J. Cron | LAA | 12546
Cesar Hernandez | PHI | 10556
Michael Fulmer | DET | 13218
Caleb Joseph | BAL | 7087
Travis Wood | SD | 9884
Tommy Joseph | PHI | 10349
Corey Kluber | CLE | 2429
Hector Rondon | CHC | 2391
Carlos Gomez | TEX | 4881
